;AIMP1;BMP2;CCL1;CCL11;CCL13;CCL17;CCL2;CCL20;CCL23;CCL5;CCR1;CCR3;CCR4;CCR6;CCR8;CD40LG;CD70;CSF1;CSF2;CX3CL1;CX3CR1;CXCL11;CXCL12;CXCL13;CXCL6;CXCL9;CXCR1;CXCR4;FASLG;IFNA2;IFNG;IL10RA;IL10RB;IL11RA;IL12B;IL12RB1;IL12RB2;IL13;IL15;IL15RA;IL16;IL17A;IL17F;IL1A;IL1B;IL1R1;IL1R2;IL1RN;IL2;IL20;IL21;IL2RA;IL2RB;IL2RG;IL3;IL4;IL5;IL5RA;IL6;IL6R;IL7;IL8;IL8RB;IL9R;LOC708339;LOC710618;LOC712292;LOC714751;LOC716099;LTA;MIF;NAMPT;OSM;PF4;SPP1;TNF;TNFRSF11B;TNFSF10;TNFSF11;TNFSF13B;TNFSF14;TNFSF4;VEGFA;XCL1
Mac4_D30_Tibialis_injected;0,402762;0,010146;0,000421;0,00314;0,012895;0,000658;0,02838;NA;0,003333;0,00375;0,002651;NA;0,000464;NA;0,001255;0,001221;0,001834;0,047663;NA;0,003997;0,023634;0,021241;0,197647;0,000812;NA;0,205328;0,000466;0,008765;0,001569;0,001186;0,000588;0,012551;0,047465;0,040921;0,000416;0,007834;0,01065;NA;0,018517;0,051797;0,016527;NA;NA;NA;0,000542;0,012525;0,00193;0,000308;0,007274;NA;0,001725;0,022112;0,002163;0,00405;NA;0,001446;NA;NA;0,003365;0,143986;0,001246;0,00075;0,003231;NA;NA;NA;NA;0,001332;0,000333;NA;0,128425;0,301243;NA;0,006155;0,002681;0,002952;0,000812;0,19601;0,000337;0,016436;0,000422;0,010851;0,245876;0,00527
Mac5_D30_Tibialis_injected;0,35339;0,008266;0,005267;0,011625;0,017185;0,002004;0,101766;NA;0,000831;0,004871;0,003595;NA;0,00079;0,000433;0,000711;0,001347;0,001777;0,067327;NA;0,003666;0,01833;0,136913;0,225521;NA;NA;0,397584;NA;0,006503;0,002466;NA;0,004314;0,03502;0,073218;0,025091;NA;0,004287;0,008243;NA;0,039729;0,112292;0,015296;NA;0,000458;NA;0,002328;0,003152;0,000648;0,00794;0,001024;NA;0,000588;0,01316;0,001959;0,007347;NA;0,000485;NA;NA;0,001327;0,147556;0,002074;0,000619;0,026781;NA;NA;NA;NA;0,003439;NA;NA;0,134003;0,555298;0,000459;0,000932;0,065486;0,005341;NA;0,237062;0,001376;0,06405;NA;0,004124;0,148995;0,015149
Mac1_D30_Tibialis_injected;0,315782;0,004849;NA;0,000677;0,001751;0,001312;0,009793;NA;0,001231;0,000275;0,000256;NA;NA;NA;NA;0,000524;0,003773;0,011916;NA;0,000378;0,009585;0,003;0,427205;NA;NA;0,010273;NA;0,011026;0,000202;NA;NA;0,00492;0,030798;0,019519;NA;0,001227;0,006263;NA;0,014358;0,01417;0,01009;NA;0,000506;NA;0,000923;NA;0,00199;0,000223;0,006629;NA;0,000584;0,007412;NA;0,000833;NA;0,00042;NA;NA;0,003386;0,049721;0,001331;NA;0,002556;NA;NA;NA;NA;NA;0,000315;NA;0,101813;0,267758;NA;0,001001;0,001743;0,002231;0,000501;0,087353;NA;0,009137;0,000301;0,00473;0,112891;0,000459
Mac2_D30_Tibialis_injected;0,171387;0,005824;NA;0,006369;0,004877;0,002072;0,070674;NA;0,006951;0,001507;0,002302;NA;NA;0,000433;0,000715;0,002492;0,001217;0,029653;NA;0,003416;0,033292;0,107345;0,244912;0,002617;NA;0,455125;NA;0,011043;0,001775;NA;0,004432;0,020551;0,042345;0,022164;0,000683;0,002105;0,003875;NA;0,029756;0,030784;0,016394;NA;0,00029;NA;0,001882;0,008079;0,004107;0,007004;0,001372;NA;0,001988;0,011105;0,002068;0,008683;NA;0,000572;NA;NA;0,002955;0,112137;0,002525;NA;0,006277;NA;0,000321;NA;NA;0,001357;0,000602;0,000626;0,108543;0,245081;0,000372;0,010982;0,011465;0,004133;0,000295;0,114652;0,003139;0,032925;0,000431;0,005972;0,06822;0,011641
Mac3_D30_Tibialis_injected;0,318493;0,007398;0,000178;0,005824;0,002551;0,003704;0,062993;NA;0,00113;0,00114;0,001432;NA;0,000186;NA;NA;0,000859;0,0012;0,01895;NA;0,001931;0,004017;0,022692;0,241373;0,000246;NA;0,11323;NA;0,004079;0,000865;NA;0,000687;0,004794;0,03769;0,021099;0,00027;0,0031;0,008214;NA;0,018534;0,023886;0,008749;NA;NA;NA;0,001281;0,015869;0,001434;0,001063;0,002896;NA;0,000429;0,004084;0,000972;0,002858;NA;0,000681;NA;NA;0,003292;0,129887;0,001459;0,000578;0,001544;NA;NA;NA;NA;0,001185;0,000181;0,000245;0,109829;0,210856;NA;0,008034;0,004243;0,002835;0,000735;0,109071;0,000348;0,011028;0,000288;0,003915;0,18664;0,003458
MacIM-CTRL_D30_Tibialis_controlateral;0,289908;0,018797;0,000358;0,002075;0,040098;0,00048;0,021712;NA;0,002853;0,000892;0,001276;NA;0,000378;NA;0,00043;0,0007;0,00469;0,033625;NA;0,003289;0,02501;0,019192;0,332786;NA;NA;0,021133;NA;0,003604;0,000299;NA;NA;0,00951;0,048619;0,043395;NA;0,01015;0,006646;NA;0,009825;0,026824;0,020091;NA;NA;NA;0,000274;0,0132;0,00268;0,000526;0,003339;NA;NA;0,013009;0,000374;0,001429;NA;0,000905;NA;NA;0,002475;0,098664;0,001044;NA;0,003339;NA;NA;NA;NA;0,000471;0,000525;NA;0,159615;0,211198;NA;0,002075;0,008058;0,001645;0,019966;0,110312;0,00045;0,005542;0,000412;0,006928;0,139919;0,000583
Mac4_D30_Tibialis_controlateral;0,504409;0,005718;NA;0,000442;0,004455;0,000384;0,006209;NA;0,002456;0,000877;0,0003;NA;0,000262;NA;0,001038;0,000828;0,00117;0,015796;NA;0,004145;0,064734;0,002901;0,226043;NA;NA;0,008377;NA;0,004229;0,000259;0,000967;NA;0,002156;0,034666;0,044553;NA;0,005891;0,009289;NA;0,006563;0,024683;0,012557;NA;NA;NA;0,000619;0,009444;0,00113;NA;0,002911;NA;NA;0,021879;NA;0,001652;NA;0,000779;NA;NA;0,004683;0,169772;0,000552;0,000671;0,001878;NA;NA;NA;NA;NA;NA;NA;0,140502;0,342617;NA;0,008733;0,003298;0,000599;0,000346;0,171665;NA;0,003963;0,000431;0,008171;0,185651;0,000614
Mac5_D30_Tibialis_controlateral;0,387876;0,007909;NA;0,004762;0,005128;NA;0,022541;NA;NA;0,001597;NA;NA;NA;NA;0,000467;0,001092;0,000898;0,037909;NA;0,002477;0,03426;0,007472;0,326163;NA;NA;0,019232;NA;0,007446;0,000393;NA;NA;0,003318;0,04077;0,026954;NA;0,025946;0,012479;NA;0,009353;0,060357;0,012088;NA;NA;NA;0,000742;0,005814;0,000786;0,000392;0,000712;NA;0,000414;0,00404;NA;0,001467;NA;0,000558;NA;NA;0,00246;0,214294;0,000692;0,001043;0,006739;NA;NA;NA;NA;NA;0,000634;NA;0,142168;0,471937;NA;0,005666;0,16263;0,001092;0,001546;0,104652;NA;0,005706;0,000418;0,004066;0,228089;0,001097
Mac1_D30_Tibialis_controlateral;0,189465;0,008229;0,000231;0,001351;0,003745;0,000515;0,053327;NA;0,009297;0,000313;0,000774;NA;NA;NA;0,000397;0,000599;0,011195;0,014448;NA;0,000947;0,00668;0,000445;0,474013;0,000263;NA;0,000568;NA;0,010533;NA;NA;NA;0,00942;0,039775;0,018867;NA;0,000787;0,005055;NA;0,017924;0,012149;0,015756;NA;0,000581;NA;0,00128;NA;0,00771;0,000608;0,002619;NA;0,000391;0,005369;NA;0,001084;0,000363;0,000406;NA;0,000469;0,009572;0,082127;0,001273;0,001195;0,004112;NA;0,000533;NA;NA;0,000949;0,000257;NA;0,139952;0,263158;0,000234;0,001662;0,002438;0,001583;0,001443;0,128247;0,000564;0,013286;0,000332;0,0046;0,158329;0,000389
Mac2_D30_Tibialis_controlateral;0,501736;0,017837;NA;0,002352;0,006121;0,00139;0,02526;NA;0,005136;0,000891;NA;NA;NA;NA;NA;0,00038;0,001859;0,020207;NA;0,001274;0,012065;0,002776;0,297714;NA;NA;0,002981;NA;0,00559;NA;NA;NA;0,00272;0,030186;0,039336;NA;0,001159;0,002597;NA;0,010416;0,016255;0,012141;NA;0,000328;NA;0,000452;0,014926;0,002357;NA;0,000356;NA;NA;0,005179;NA;0,001477;NA;0,000412;NA;NA;0,002964;0,112033;0,001432;0,000323;0,002914;NA;0,000912;NA;NA;NA;0,002739;NA;0,144887;0,238821;NA;0,003006;0,008156;0,000593;0,000907;0,109652;NA;0,016562;NA;0,003936;0,090433;0,000766
Mac3_D30_Tibialis_controlateral;0,314544;0,007967;NA;0,001374;0,003308;0,001448;0,011894;NA;0,000303;0,000286;0,00071;NA;NA;NA;0,000321;0,00042;0,002963;0,023282;NA;0,001465;0,006831;0,000294;0,268749;NA;NA;0,000473;NA;0,003147;NA;NA;NA;0,002123;0,029797;0,026266;NA;0,002213;0,007166;NA;0,010333;0,010846;0,010404;NA;NA;NA;0,000695;0,018858;0,000417;NA;0,002317;NA;NA;0,005191;NA;0,000696;NA;0,000324;NA;NA;0,002301;0,082947;0,000782;NA;0,00112;NA;NA;NA;NA;NA;NA;NA;0,107494;0,152759;NA;0,011746;0,001591;0,000399;0,000415;0,068457;NA;0,003376;NA;0,00439;0,148685;0,000878
MacIM-CTRL_D90_Tibialis_injected;0,216684;0,011396;0,000501;0,000703;0,020886;0,000613;0,011278;NA;NA;0,00202;0,001979;NA;0,000468;0,000409;NA;NA;0,002235;0,016801;NA;0,001455;0,010751;0,009818;0,325486;0,000505;NA;0,019828;NA;0,020555;0,001398;NA;0,000716;0,012964;0,042208;0,033346;0,00068;0,005175;0,008842;NA;0,007703;0,021488;0,019299;NA;NA;NA;NA;0,009717;0,001371;NA;0,007661;NA;0,000602;0,00679;0,000842;0,002404;NA;0,000814;NA;NA;0,00186;0,084475;0,001417;NA;0,009805;NA;0,000552;NA;NA;0,000814;0,000434;NA;0,143953;0,224637;NA;0,009941;0,005324;0,001712;NA;0,095568;0,000729;0,007947;0,00093;0,007128;0,070593;0,000855
Mac4_D90_Tibialis_injected;0,184667;0,023601;0,000292;0,009169;0,029791;0,003071;0,074222;NA;0,003742;0,009394;0,009951;0,001258;0,001884;0,000368;0,000308;0,001363;0,003637;0,04652;NA;0,002269;0,007905;0,036855;0,27797;0,002418;NA;0,242995;NA;0,037603;0,002969;NA;0,001844;0,032872;0,090371;0,033308;0,001991;0,004263;0,007406;NA;0,024603;0,051976;0,023004;NA;NA;0,00031;0,00363;0,073966;0,023454;0,011735;0,001406;0,000227;0,000695;0,007174;0,001902;0,010806;NA;0,000529;NA;NA;0,002981;0,093493;0,004416;0,018633;0,008826;NA;0,000727;NA;NA;0,001634;0,005888;0,00038;0,26906;0,180992;0,001409;0,003752;0,639493;0,004304;0,0018;0,115583;0,002358;0,037395;0,005076;0,010635;0,067639;0,005904
Mac5_D90_Tibialis_injected;0,195377;0,008761;NA;0,00343;0,063124;0,003167;0,039345;NA;NA;0,009708;0,003021;NA;0,001846;0,000774;NA;0,003044;0,002456;0,025442;NA;0,002153;0,016406;0,067374;0,454809;0,002362;NA;0,247643;NA;0,027648;0,005337;NA;0,004618;0,030998;0,061654;0,025976;0,001728;0,00465;0,006635;NA;0,029347;0,038322;0,025868;NA;0,000299;NA;0,000871;0,012615;0,000758;0,001266;0,001783;NA;0,001041;0,005583;0,003009;0,008683;0,000274;0,000732;NA;NA;0,002549;0,062298;0,005004;0,00045;0,022661;NA;0,000842;NA;NA;0,001004;0,00103;0,000493;0,138248;0,19893;NA;0,00063;0,00485;0,005776;0,00144;0,153715;0,001236;0,041965;0,001592;0,007186;0,084514;0,004314
Mac1_D90_Tibialis_injected;0,309999;0,010786;0,001258;0,004045;0,006955;0,001363;0,04898;NA;0,002898;0,00608;0,001779;0,000434;0,000908;0,000259;0,000334;0,002767;0,001728;0,027042;NA;0,002302;0,009254;0,057925;0,396484;0,000685;NA;0,452608;0,002007;0,033177;0,003771;NA;0,00415;0,023837;0,055297;0,020128;0,002031;0,005386;0,005148;NA;0,065942;0,028308;0,035731;NA;0,001074;NA;0,005206;NA;0,002599;0,001385;0,002986;NA;0,001366;0,009184;0,001733;0,010899;NA;0,000724;NA;NA;0,003613;0,086409;0,003992;0,001888;0,012774;NA;0,000289;NA;NA;0,001151;NA;0,000357;0,141153;0,351436;0,000276;0,003738;0,002314;0,005955;0,000589;0,156619;0,001716;0,04774;0,00071;0,005446;0,089333;0,042728
Mac2_D90_Tibialis_injected;0,247586;0,007494;0,000503;0,005161;0,015756;0,002508;0,042571;NA;0,001797;0,00345;0,002622;0,000301;0,000488;0,000261;0,00061;0,002187;0,00101;0,01888;NA;0,002577;0,009407;0,060707;0,363241;0,001814;NA;0,576343;NA;0,010739;0,001853;NA;0,003474;0,01465;0,032826;0,028086;0,000914;0,002529;0,00534;NA;0,023503;0,018186;0,018828;NA;0,000521;NA;0,00079;0,007716;0,001173;0,002203;0,005226;NA;0,001045;0,010055;0,003046;0,00613;NA;0,000766;NA;NA;0,003732;0,063197;0,002498;0,000201;0,003415;NA;0,000188;NA;NA;0,000921;0,000351;0,000385;0,103665;0,262611;0,000182;0,000743;0,002349;0,004016;0,000706;0,101532;0,001918;0,02795;0,000744;0,005767;0,08687;0,016608
MacIM-CTRL_D90_Tibialis_controlateral;0,365261;0,008603;0,000659;NA;0,004361;0,000373;0,001001;NA;NA;0,001549;NA;NA;NA;NA;0,000397;0,00055;0,001806;0,011141;NA;0,001929;0,017051;0,002242;0,288771;NA;NA;0,002146;NA;0,006207;NA;0,000662;NA;0,003347;0,049207;0,04478;NA;0,024231;0,006638;NA;0,010814;0,03082;0,00842;NA;NA;NA;0,00056;0,00291;0,00146;NA;0,008105;NA;NA;0,025453;NA;0,00103;0,000619;0,001187;NA;NA;0,00282;0,194387;0,000511;NA;0,001232;NA;NA;NA;NA;NA;NA;NA;0,13453;0,303338;NA;0,010237;0,003665;NA;0,000462;0,133508;NA;0,002245;0,000621;0,007335;0,23342;NA
Mac4_D90_Tibialis_controlateral;0,302918;0,007823;NA;0,001503;0,011187;NA;0,012387;NA;0,001948;0,003073;0,00082;0,000819;0,001571;0,000357;0,000493;0,000788;0,030671;0,023487;NA;0,002401;0,009726;0,01167;0,233744;0,00031;NA;0,02092;0,00029;0,015282;0,001891;0,003675;NA;0,005066;0,037137;0,031708;NA;0,009024;0,010181;0,000964;0,010972;0,035085;0,011328;NA;NA;NA;0,000315;0,022845;0,002713;NA;0,014024;0,000891;0,002411;0,011711;0,00078;0,000943;0,001872;0,001008;0,000661;0,000883;0,001605;0,179618;0,000908;0,000292;0,003069;NA;NA;NA;NA;0,003462;0,000742;0,001086;0,167125;0,338212;NA;0,003308;0,003251;0,001078;0,000883;0,121666;0,000282;0,005292;0,001549;0,005414;0,206613;0,000618
Mac5_D90_Tibialis_controlateral;0,247529;0,004391;NA;NA;0,000956;NA;0,001553;NA;0,000465;0,001466;NA;NA;NA;NA;0,000405;0,000365;0,00416;0,005899;NA;0,001253;0,014616;0,001043;0,290109;NA;NA;0,00638;0,000341;0,002401;0,000458;NA;NA;0,000928;0,014385;0,028531;NA;0,001821;0,005558;NA;0,007931;0,024803;0,00378;NA;NA;NA;0,001558;0,001485;0,000546;NA;0,000695;NA;NA;0,005542;0,000333;0,000671;NA;NA;NA;NA;0,002071;0,080753;0,000325;0,000357;0,00131;NA;NA;NA;NA;NA;NA;NA;0,064465;0,282176;NA;0,007313;0,002186;0,000502;0,000481;0,046996;NA;0,001285;0,000787;0,006052;0,195829;NA
